CNPJ_BASICO;CNPJ_ORDEM;CNPJ_DV;IDENTIFICADOR_MATRIZ_FILIAL;NOME_FANTASIA;SITUACAO_CADASTRAL;DATA_SITUACAO_CADASTRAL;MOTIVO_SITUACAO_CADASTRAL;NOME_CIDADE_EXTERIOR;PAIS;DATA_INICIO_ATIVIDADE;CNAE_FISCAL_PRINCIPAL;CNAE_FISCAL_SECUNDARIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD_1;TELEFONE_1;DDD_2;TELEFONE_2;DDD_FAX;FAX;CORREIO_ELETRONICO;SITUACAO_ESPECIAL;DATA_SITUACAO_ESPECIAL;ENDERECO_COMPLETO;CNAE_PRINCIPAL_FILTRO
"24149603";"0001";"18";"1";"";"02";"20160204";"00";"";"";"20160204";"0312401";"";"AVENIDA";"RANGEL PESTANA";"798";"";"VILA VOLGA";"19920007";"SP";"7009";"14";"33781188";"";"";"";"";"";"";"";"AVENIDA, RANGEL PESTANA, 798, VILA VOLGA, 19920007, SP, 7009, Brasil";1
"24258507";"0001";"08";"1";"";"02";"20160216";"00";"";"";"20160216";"0312401";"";"RUA";"JOSE XAVIER COUTO";"270";"";"PLANALTO";"16075067";"SP";"6155";"18";"36461194";"";"";"18";"36461194";"ESCRITORIO_ALVORADA@HOTMAIL.COM";"";"";"RUA, JOSE XAVIER COUTO, 270, PLANALTO, 16075067, SP, 6155, Brasil";1
"24324587";"0001";"52";"1";"";"02";"20160301";"00";"";"";"20160301";"0322101";"0151201,0151202";"ESTRADA MUNICIPAL";"BAIRRO DOS FREITAS";"S/N";"";"FREITAS";"12995000";"SP";"6867";"11";"40184338";"11";"11401843";"11";"40184338";"ARCOIRISPINHALZINHO@GMAIL.COM";"";"";"ESTRADA MUNICIPAL, BAIRRO DOS FREITAS, S/N, FREITAS, 12995000, SP, 6867, Brasil";1
"24333884";"0001";"64";"1";"";"02";"20160211";"00";"";"";"20160211";"0312401";"";"LAGO";"RIO PARANA";"S/N";"";"ZONA RURAL";"15775000";"SP";"7033";"17";"36412508";"17";"91883792";"";"";"ARSAOJOSE@TERRA.COM.BR";"";"";"LAGO, RIO PARANA, S/N, ZONA RURAL, 15775000, SP, 7033, Brasil";1
"24362383";"0001";"06";"1";"";"02";"20160308";"00";"";"";"20160308";"0312401";"";"RUA";"REVERENDO CYRUS BASSET DAWSEY";"542";"      CASA";"JARDIM MARISTER";"16204257";"SP";"6229";"18";"97926045";"18";"36423492";"";"";"VAGNER@AGRILOPES.COM.BR";"";"";"RUA, REVERENDO CYRUS BASSET DAWSEY, 542, CASA, JARDIM MARISTER, 16204257, SP, 6229, Brasil";1
"24535845";"0001";"40";"1";"";"02";"20160322";"00";"";"";"20160322";"0321305";"0311604";"RUA";"BENTO LOUZADA";"35";"SALA  A";"CENTRO";"62580000";"CE";"1303";"85";"91457074";"";"";"";"";"";"";"";"RUA, BENTO LOUZADA, 35, SALA  A, CENTRO, 62580000, CE, 1303, Brasil";1
"24568833";"0001";"11";"1";"";"02";"20160411";"00";"";"";"20160411";"0322101";"0111302,0115600,0121101";"CHACARA";"SANTO ANTONIO";"S/N";"";"NEVES";"18740000";"SP";"7177";"14";"37621311";"";"";"14";"37623396";"STRTAQUARITUBA@GMAIL.COM";"";"";"CHACARA, SANTO ANTONIO, S/N, NEVES, 18740000, SP, 7177, Brasil";1
"24585268";"0001";"09";"1";"";"02";"20160324";"00";"";"";"20160324";"0312401";"";"RUA";"DO BOSQUE";"20";"";"CENTRO";"19274000";"SP";"7265";"18";"32841989";"";"";"18";"32841989";"ORGANTEQ@YAHOO.COM.BR";"";"";"RUA, DO BOSQUE, 20, CENTRO, 19274000, SP, 7265, Brasil";1
"24741676";"0001";"02";"1";"";"02";"20160505";"00";"";"";"20160505";"0312401";"";"CHACARA";"SAO JOSE";"S/N";"";"JAVA PAULISTA";"17900000";"SP";"6389";"18";"38214342";"";"";"";"";"ESCRITORIO.NACIONAL@UOL.COM.BR";"";"";"CHACARA, SAO JOSE, S/N, JAVA PAULISTA, 17900000, SP, 6389, Brasil";1
"24766665";"0001";"79";"1";"";"02";"20160411";"00";"";"";"20160411";"0312401";"";"RUA";"MANOEL BANDEIRA";"832";"";"PARQUE DO BOSQUE";"17900000";"SP";"6389";"18";"38214342";"";"";"";"";"ESCRITORIO.NACIONAL@UOL.COM.BR";"";"";"RUA, MANOEL BANDEIRA, 832, PARQUE DO BOSQUE, 17900000, SP, 6389, Brasil";1
