CNPJ_BASICO;CNPJ_ORDEM;CNPJ_DV;IDENTIFICADOR_MATRIZ_FILIAL;NOME_FANTASIA;SITUACAO_CADASTRAL;DATA_SITUACAO_CADASTRAL;MOTIVO_SITUACAO_CADASTRAL;NOME_CIDADE_EXTERIOR;PAIS;DATA_INICIO_ATIVIDADE;CNAE_FISCAL_PRINCIPAL;CNAE_FISCAL_SECUNDARIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD_1;TELEFONE_1;DDD_2;TELEFONE_2;DDD_FAX;FAX;CORREIO_ELETRONICO;SITUACAO_ESPECIAL;DATA_SITUACAO_ESPECIAL;ENDERECO_COMPLETO;CNAE_PRINCIPAL_FILTRO
"18747064";"0001";"16";"1";"DJALMA PESCADOR";"02";"20130823";"00";"";"";"20130823";"0311601";"4721104";"PRAIA";"DOS AMORES";"158";"";"BARRA DA TIJUCA";"22620150";"RJ";"6001";"21";"80922857";"";"";"";"";"RENATODASILVA76@YAHOO..COM.BR";"";"";"PRAIA, DOS AMORES, 158, BARRA DA TIJUCA, 22620150, RJ, 6001, Brasil";1
"18766848";"0001";"91";"1";"";"02";"20130823";"00";"";"";"20130823";"0311601";"0311602";"AVENIDA";"REI ALBERTO I";"145";"";"PONTA DA PRAIA";"11030381";"SP";"7071";"13";"32255256";"13";"78074928";"";"";"LENILUIZ@TERRA.COM.BR";"";"";"AVENIDA, REI ALBERTO I, 145, PONTA DA PRAIA, 11030381, SP, 7071, Brasil";1
"18807576";"0001";"20";"1";"";"02";"20130903";"00";"";"";"20130903";"0312401";"";"RUA";"VIRGILIO FIORAVANTE";"338";"";"JARDIM VERA CRUZ";"17900000";"SP";"6389";"18";"97667252";"";"";"";"";"lmurer@uol.com.br";"";"";"RUA, VIRGILIO FIORAVANTE, 338, JARDIM VERA CRUZ, 17900000, SP, 6389, Brasil";1
"18811053";"0001";"58";"1";"";"02";"20130819";"00";"";"";"20130819";"0312401";"";"RUA";"JOSE BATISTA";"166";"";"JARDIM DOS IPES";"15840000";"SP";"6539";"17";"35462639";"17";"35462639";"17";"35462639";"ribeirobecker@hotmail.com";"";"";"RUA, JOSE BATISTA, 166, JARDIM DOS IPES, 15840000, SP, 6539, Brasil";1
"18874246";"0001";"58";"1";"";"02";"20130912";"00";"";"";"20130912";"0312401";"0322101";"RUA";"CIRO DA CONCEICAO";"1000";"      SITIO JACARE";"PADRE ETERNO";"12120000";"SP";"7197";"12";"36723635";"";"";"";"";"";"";"";"RUA, CIRO DA CONCEICAO, 1000, SITIO JACARE, PADRE ETERNO, 12120000, SP, 7197, Brasil";1
"18911397";"0001";"39";"1";"";"02";"20130830";"00";"";"";"20130830";"0312401";"";"RUA";"PORTO FELIZ";"10";"";"PARQUE IRACEMA";"15809130";"SP";"6323";"17";"35245333";"17";"97424415";"17";"35462639";"RIBEIROBECKER@HOTMAIL.COM";"";"";"RUA, PORTO FELIZ, 10, PARQUE IRACEMA, 15809130, SP, 6323, Brasil";1
"19036759";"0001";"52";"1";"";"02";"20131008";"00";"";"";"20131008";"0312401";"";"RUA";"VICENTE DE CARVALHO";"3.107";"      FUNDOS";"VILA MARTINS";"19470000";"SP";"6927";"18";"32811437";"18";"32817303";"";"";"";"";"";"RUA, VICENTE DE CARVALHO, 3.107, FUNDOS, VILA MARTINS, 19470000, SP, 6927, Brasil";1
"19043143";"0001";"09";"1";"";"02";"20131009";"00";"";"";"20131009";"0312401";"";"RUA";"GENERAL VARGAS";"1407";"";"CENTRO";"17990000";"SP";"6829";"18";"38760526";"18";"97087304";"18";"38760526";"";"";"";"RUA, GENERAL VARGAS, 1407, CENTRO, 17990000, SP, 6829, Brasil";1
"19118164";"0001";"46";"1";"";"02";"20131022";"00";"";"";"20131022";"0322101";"0122900";"ESTRADA";"VICINAL ZACARIAS A BURITAMA";"KM 03";"      CHACARA SAO JOSE";"SANTA BARBARA";"15265000";"SP";"2973";"18";"36911326";"18";"36911368";"18";"36911847";"escritorionovomundo@hotmail.com";"";"";"ESTRADA, VICINAL ZACARIAS A BURITAMA, KM 03, CHACARA SAO JOSE, SANTA BARBARA, 15265000, SP, 2973, Brasil";1
"19135113";"0001";"22";"1";"";"02";"20131024";"00";"";"";"20131024";"0322101";"0312401";"SITIO";"SITIO TRES COQUEIROS";"S/N";"";"PINHAL";"13250970";"SP";"6569";"11";"78331087";"";"";"";"";"";"";"";"SITIO, SITIO TRES COQUEIROS, S/N, PINHAL, 13250970, SP, 6569, Brasil";1
