CNPJ_BASICO;CNPJ_ORDEM;CNPJ_DV;IDENTIFICADOR_MATRIZ_FILIAL;NOME_FANTASIA;SITUACAO_CADASTRAL;DATA_SITUACAO_CADASTRAL;MOTIVO_SITUACAO_CADASTRAL;NOME_CIDADE_EXTERIOR;PAIS;DATA_INICIO_ATIVIDADE;CNAE_FISCAL_PRINCIPAL;CNAE_FISCAL_SECUNDARIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD_1;TELEFONE_1;DDD_2;TELEFONE_2;DDD_FAX;FAX;CORREIO_ELETRONICO;SITUACAO_ESPECIAL;DATA_SITUACAO_ESPECIAL;ENDERECO_COMPLETO;CNAE_PRINCIPAL_FILTRO
"11034952";"0003";"04";"2";"";"02";"20210517";"00";"";"";"20210517";"0311601";"0311602,0311603,1020101,4634603,5030101";"RUA";"CHILE";"92";"";"RIBEIRA";"59012250";"RN";"1761";"81";"32216828";"81";"32245588";"";"";"GABRIELA@OCEANUSBR.COM.BR";"";"";"RUA, CHILE, 92, RIBEIRA, 59012250, RN, 1761, Brasil";1
"41991611";"0001";"26";"1";"";"02";"20210517";"00";"";"";"20210517";"0312401";"";"RUA";"ANTONIO JOSE DE PRESENTE";"711";"CASA";"MIGUEL MOLINA DE CASTILHO";"17690000";"SP";"6215";"18";"32817303";"18";"32811437";"18";"32817303";"COLONIAZ24@YAHOO.COM.BR";"";"";"RUA, ANTONIO JOSE DE PRESENTE, 711, CASA, MIGUEL MOLINA DE CASTILHO, 17690000, SP, 6215, Brasil";1
"42015514";"0001";"60";"1";"";"02";"20210518";"00";"";"";"20210518";"0322101";"0155501,0155505,0121101";"ESTRADA";"DOUTOR BEZERRA DE MENEZES";"1400";"      CHACARA ROCKFIELD";"JARDIM TORRAO DE OURO";"12229380";"SP";"7099";"12";"88290025";"";"";"";"";"BELLIBUANI@GMAIL.COM";"";"";"ESTRADA, DOUTOR BEZERRA DE MENEZES, 1400, CHACARA ROCKFIELD, JARDIM TORRAO DE OURO, 12229380, SP, 7099, Brasil";1
"42070642";"0001";"07";"1";"";"02";"20210525";"00";"";"";"20210525";"0312401";"";"LAGO";"SERGIO MOTTA";"S/N";"";"ZONA RURAL";"19470000";"SP";"6927";"18";"98241518";"";"";"";"";"CONTABIL_MURARO@HOTMAIL.COM";"";"";"LAGO, SERGIO MOTTA, S/N, ZONA RURAL, 19470000, SP, 6927, Brasil";1
"42088974";"0001";"19";"1";"PISCICULTURA AGUAS VIRTUOSAS";"02";"20210526";"00";"";"";"20210526";"0322101";"0321302";"SITIO";"AGUAS VIRTUOSAS";"0";"";"AREA RURAL DE AGUAS VIRTUOSAS";"18836899";"SP";"7185";"14";"33861412";"";"";"";"";"HELENAROMANO20@HOTMAIL.COM";"";"";"SITIO, AGUAS VIRTUOSAS, 0, AREA RURAL DE AGUAS VIRTUOSAS, 18836899, SP, 7185, Brasil";1
"42174277";"0001";"80";"1";"";"02";"20210601";"00";"";"";"20210601";"0322101";"";"RUA";"RURAL";"S/N";"";"AREA RURAL DE NOVA COLOMBIA";"17549899";"SP";"6775";"14";"96702132";"";"";"";"";"CONTAFI.ADM@GMAIL.COM";"";"";"RUA, RURAL, S/N, AREA RURAL DE NOVA COLOMBIA, 17549899, SP, 6775, Brasil";1
"42240672";"0001";"14";"1";"";"02";"20210607";"00";"";"";"20210607";"0322101";"";"RUA";"REVERENDO BELMIRO DE ANDRADE";"560";"";"VILA PINHEIRO";"13630370";"SP";"6887";"19";"35617241";"";"";"";"";"NYCOLAS.PEREIRA@ZOOTECNISTA.COM.BR";"";"";"RUA, REVERENDO BELMIRO DE ANDRADE, 560, VILA PINHEIRO, 13630370, SP, 6887, Brasil";1
"26113061";"0002";"30";"2";"";"02";"20210610";"00";"";"";"20210610";"0312401";"";"LAGO";"SERGIO MOTTA";"S/N";"";"ZONA RURAL";"19470000";"SP";"6927";"18";"32813269";"";"";"";"";"CONTABIL_MURARO@HOTMAIL.COM";"";"";"LAGO, SERGIO MOTTA, S/N, ZONA RURAL, 19470000, SP, 6927, Brasil";1
"42277761";"0001";"35";"1";"";"02";"20210610";"00";"";"";"20210610";"0312401";"";"RUA";"BELO HORIZONTE";"241";"";"METROPOLE";"17900000";"SP";"6389";"18";"97214917";"";"";"";"";"ESCFIEL@HOTMAIL.COM";"";"";"RUA, BELO HORIZONTE, 241, METROPOLE, 17900000, SP, 6389, Brasil";1
"42289742";"0001";"29";"1";"";"02";"20210611";"00";"";"";"20210611";"0322101";"0121101";"FAZENDA";"CORVO BRANCO - GLEBA A3";"SN";"";"CORVO BRANCO";"18682970";"SP";"6637";"14";"97725079";"";"";"";"";"SINDRURAL@LPNET.COM.BR";"";"";"FAZENDA, CORVO BRANCO - GLEBA A3, SN, CORVO BRANCO, 18682970, SP, 6637, Brasil";1
"42675297";"0001";"35";"1";"";"02";"20210712";"00";"";"";"20210712";"0312401";"";"LAGO";"SERGIO MOTTA";"S/N";"";"ZONA RURAL";"19470000";"SP";"6927";"18";"96514666";"";"";"";"";"CONTABIL_MURARO@HOTMAIL.COM";"";"";"LAGO, SERGIO MOTTA, S/N, ZONA RURAL, 19470000, SP, 6927, Brasil";1
"42679000";"0001";"00";"1";"";"02";"20210701";"00";"";"";"20210701";"0322101";"";"CHACARA";"OURA";"S/N";"";"SECCAO UNIAO I";"17690000";"SP";"6215";"14";"34781765";"";"";"";"";"TIAGOHIGUTI1986@GMAIL.COM";"";"";"CHACARA, OURA, S/N, SECCAO UNIAO I, 17690000, SP, 6215, Brasil";1
"42802242";"0001";"49";"1";"";"02";"20210721";"00";"";"";"20210721";"0322101";"0151202";"ESTRADA VELHA";"DO JARAGUA-ROCCO CANTERUCCIO";"03";"";"ANHANGUERA";"05276100";"SP";"7107";"11";"40366980";"";"";"";"";"ESCRITORIOCINTRA@GMAIL.COM";"";"";"ESTRADA VELHA, DO JARAGUA-ROCCO CANTERUCCIO, 03, ANHANGUERA, 05276100, SP, 7107, Brasil";1
"42868502";"0001";"89";"1";"";"02";"20210726";"00";"";"";"20210726";"0312401";"";"RUA";"OLIMPIO PIMENTEL";"791";"CASA";"CENTRO";"19920017";"SP";"7009";"18";"32817303";"18";"32811437";"18";"32817303";"COLONIAZ24@YAHOO.COM.BR";"";"";"RUA, OLIMPIO PIMENTEL, 791, CASA, CENTRO, 19920017, SP, 7009, Brasil";1
"42924863";"0001";"03";"1";"";"02";"20210728";"00";"";"";"20210728";"0312401";"";"AVENIDA";"PAULISTA";"520";"";"VILA ANGLO";"16350000";"SP";"6199";"17";"91232627";"";"";"";"";"ESCRITORIOBTA@HOTMAIL.COM";"";"";"AVENIDA, PAULISTA, 520, VILA ANGLO, 16350000, SP, 6199, Brasil";1
"43098224";"0001";"90";"1";"";"02";"20210812";"00";"";"";"20210812";"0312401";"";"AVENIDA";"JOAO SOARES";"0";"";"CENTRO";"15390000";"SP";"6561";"18";"98144401";"";"";"";"";"RENOVARCONT@HOTMAIL.COM";"";"";"AVENIDA, JOAO SOARES, 0, CENTRO, 15390000, SP, 6561, Brasil";1
"43143554";"0001";"50";"1";"";"02";"20210420";"00";"";"";"20210420";"0322101";"0321304,0133499,0121101,0119906,0111302";"ESTRADA";"MUN BAIRRO SALTINHO S/N1";"S/N";"      SITIO TRES MACHADOS";"SALTINHO";"13330970";"SP";"6511";"19";"89901224";"19";"99042779";"";"";"JRFLORIANI@HOTMAIL.COM";"";"";"ESTRADA, MUN BAIRRO SALTINHO S/N1, S/N, SITIO TRES MACHADOS, SALTINHO, 13330970, SP, 6511, Brasil";1
"43187468";"0001";"40";"1";"";"02";"20160210";"00";"";"";"20160210";"0322101";"0151202,0151201,0153901,0111302,0115600,0119905,0116401,0139306";"RODOVIA MUNICIPAL";"SENADOR TEOTONIO VILELA";"S/N";"KM    04";"AREA RURAL";"16209899";"SP";"6229";"18";"91952271";"";"";"";"";"AGRICOLAAGUALIMPA@GMAIL.COM";"";"";"RODOVIA MUNICIPAL, SENADOR TEOTONIO VILELA, S/N, KM    04, AREA RURAL, 16209899, SP, 6229, Brasil";1
"43270158";"0001";"94";"1";"";"02";"20210825";"00";"";"";"20210825";"0311601";"0312401,0311602,0312402";"AVENIDA";"IMIGRANTES";"642";"CASA  02";"BARRA DO RIBEIRA";"11920000";"SP";"6507";"13";"38414661";"13";"96872448";"13";"38414661";"CP.VEIGAMIRANDA@GMAIL.COM";"";"";"AVENIDA, IMIGRANTES, 642, CASA  02, BARRA DO RIBEIRA, 11920000, SP, 6507, Brasil";1
"43385712";"0001";"89";"1";"";"02";"20210902";"00";"";"";"20210902";"0322101";"0111302";"SITIO";"SAO JOSE";"S/N";"";"BAIRRO CORREGO FUNDO";"19930970";"SP";"6965";"14";"97724903";"";"";"";"";"MIPIRES1905@GMAIL.COM";"";"";"SITIO, SAO JOSE, S/N, BAIRRO CORREGO FUNDO, 19930970, SP, 6965, Brasil";1
"41685869";"0002";"85";"2";"";"02";"20210903";"00";"";"";"20210903";"0322101";"4634603";"ESTRADA";"COXIM/SAO RAMAO 2 + 2 KM";"S/N";"";"ZONA RURAL";"79400000";"MS";"9065";"67";"81807774";"";"";"";"";"MAXIMUSCOXIM@GMAIL.COM";"";"";"ESTRADA, COXIM/SAO RAMAO 2 + 2 KM, S/N, ZONA RURAL, 79400000, MS, 9065, Brasil";1
"43443138";"0001";"78";"1";"SAO LUCAS AGROPEIXE";"02";"20210908";"00";"";"";"20210908";"0322101";"";"RODOVIA";"MS 157 ITAPORA - MARACAJU KM 7";"SN";"      FAZENDA SAO LUCAS";"ZONA RURAL";"79890000";"MS";"9089";"67";"99098870";"";"";"";"";"NOVOMUNDO@TERRA.COM.BR";"";"";"RODOVIA, MS 157 ITAPORA - MARACAJU KM 7, SN, FAZENDA SAO LUCAS, ZONA RURAL, 79890000, MS, 9089, Brasil";1
"43472606";"0001";"32";"1";"";"02";"20210910";"00";"";"";"20210910";"0312401";"";"RUA";"JOSEFA GOMES";"5-28";"CASA";"CAMPINAL";"19470000";"SP";"6927";"18";"32811437";"18";"32817303";"18";"32811437";"SOLANGEPEREIRA99745@YAHOO.COM";"";"";"RUA, JOSEFA GOMES, 5-28, CASA, CAMPINAL, 19470000, SP, 6927, Brasil";1
